season,season_label,player,ppg,rpg,apg,3pm,3pa,3p_pct,ts_pct,age,games
2015,2014-15,Stephen Curry,23.8,4.3,7.7,286,646,44.3,63.6,26,80
2016,2015-16,Stephen Curry,30.1,5.4,6.7,402,886,45.4,66.9,27,79
2017,2016-17,Stephen Curry,25.3,4.5,6.6,324,789,41.1,63.5,28,79
2018,2017-18,Stephen Curry,26.4,5.1,6.1,337,809,42.3,61.4,29,51
2019,2018-19,Stephen Curry,27.3,5.3,5.2,354,810,43.7,62.9,30,69
2020,2019-20,Stephen Curry,20.3,5.0,6.6,94,225,41.8,60.9,31,5
2021,2020-21,Stephen Curry,32.0,5.5,5.8,337,801,42.1,65.5,32,63
2022,2021-22,Stephen Curry,25.5,5.2,6.3,285,703,40.5,61.8,33,64
2023,2022-23,Stephen Curry,29.4,6.1,6.3,273,693,39.4,62.9,34,56
2024,2023-24,Stephen Curry,26.4,4.5,4.9,269,637,42.2,63.5,35,74
2015,2014-15,LeBron James,25.3,6.0,7.4,84,217,38.7,59.8,30,69
2016,2015-16,LeBron James,25.3,7.4,6.8,87,282,30.9,56.6,31,76
2017,2016-17,LeBron James,26.4,8.6,8.7,124,298,36.3,62.3,32,74
2018,2017-18,LeBron James,27.5,8.6,9.1,149,406,36.7,62.1,33,82
2019,2018-19,LeBron James,27.4,8.5,8.3,207,593,33.9,59.9,34,55
2020,2019-20,LeBron James,25.3,7.8,10.2,148,425,34.8,57.3,35,67
2021,2020-21,LeBron James,25.0,7.7,7.8,169,484,36.5,60.7,36,45
2022,2021-22,LeBron James,30.3,8.2,6.2,181,462,35.9,60.8,37,56
2023,2022-23,LeBron James,28.9,8.3,6.8,175,491,32.1,60.5,38,55
2024,2023-24,LeBron James,25.7,7.3,8.3,138,418,41.0,60.0,39,71
2015,2014-15,James Harden,27.4,5.7,7.0,239,567,37.5,61.4,25,81
2016,2015-16,James Harden,29.0,6.1,7.5,236,656,35.9,59.9,26,82
2017,2016-17,James Harden,29.1,8.1,11.2,262,722,34.7,61.0,27,81
2018,2017-18,James Harden,30.4,5.4,8.8,265,722,36.7,61.9,28,72
2019,2018-19,James Harden,36.1,6.6,7.5,378,1028,36.8,62.9,29,78
2020,2019-20,James Harden,34.3,6.4,7.4,299,862,35.8,61.6,30,68
2021,2020-21,James Harden,24.6,8.0,10.9,197,570,34.5,57.3,31,44
2022,2021-22,James Harden,22.0,7.7,10.3,184,554,33.2,55.7,32,65
2023,2022-23,James Harden,21.0,6.1,10.7,176,517,33.1,57.3,33,58
2024,2023-24,James Harden,16.6,5.1,8.5,148,447,33.1,54.8,34,66
2015,2014-15,Giannis Antetokounmpo,12.7,7.7,2.6,12,54,22.2,54.8,20,80
2016,2015-16,Giannis Antetokounmpo,16.9,7.7,4.3,30,112,26.8,56.0,21,80
2017,2016-17,Giannis Antetokounmpo,22.9,8.8,5.4,53,193,27.2,58.4,22,80
2018,2017-18,Giannis Antetokounmpo,26.9,10.0,4.8,30,153,30.7,60.0,23,75
2019,2018-19,Giannis Antetokounmpo,27.7,12.5,5.9,30,178,25.6,61.9,24,72
2020,2019-20,Giannis Antetokounmpo,29.6,13.7,5.6,36,154,30.4,62.0,25,63
2021,2020-21,Giannis Antetokounmpo,28.1,11.0,5.9,60,188,28.5,62.6,26,61
2022,2021-22,Giannis Antetokounmpo,29.9,11.6,5.8,65,209,29.3,61.5,27,67
2023,2022-23,Giannis Antetokounmpo,31.1,11.8,5.7,40,171,27.5,63.0,28,63
2024,2023-24,Giannis Antetokounmpo,30.4,11.5,6.5,29,121,27.4,64.3,29,73
2015,2014-15,Kevin Durant,25.4,6.7,4.1,136,365,40.0,63.5,26,27
2016,2015-16,Kevin Durant,28.2,8.2,5.0,186,480,38.7,62.4,27,72
2017,2016-17,Kevin Durant,25.1,8.3,4.8,117,313,38.7,65.1,28,62
2018,2017-18,Kevin Durant,26.4,6.8,5.4,152,406,41.9,63.3,29,68
2019,2018-19,Kevin Durant,26.0,6.4,5.9,162,451,35.5,64.4,30,78
2024,2023-24,Kevin Durant,27.1,6.6,4.9,150,398,36.9,62.4,35,75
