season,season_label,player,team,ppg,rpg,apg,fg_pct,ts_pct,games
2015,2014-15,Russell Westbrook,Oklahoma City Thunder,28.1,7.3,8.6,42.7,54.1,82
2016,2015-16,Stephen Curry,Golden State Warriors,30.1,5.4,6.7,50.4,66.9,79
2017,2016-17,Russell Westbrook,Oklahoma City Thunder,31.6,10.7,10.4,42.5,55.4,81
2018,2017-18,James Harden,Houston Rockets,30.4,5.4,8.8,44.9,61.9,72
2019,2018-19,James Harden,Houston Rockets,36.1,6.6,7.5,44.2,62.9,78
2020,2019-20,James Harden,Houston Rockets,34.3,6.4,7.4,43.9,61.6,68
2021,2020-21,Stephen Curry,Golden State Warriors,32.0,5.5,5.8,48.2,65.5,63
2022,2021-22,Joel Embiid,Philadelphia 76ers,30.6,11.7,4.2,49.9,64.8,68
2023,2022-23,Joel Embiid,Philadelphia 76ers,33.1,10.2,4.2,54.8,70.0,66
2024,2023-24,Luka Doncic,Dallas Mavericks,33.9,9.2,9.8,48.7,62.0,70
